Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Julio Rodríguez,24,SEA,6.8,160,710,652,106,174,31,4,32,95,30,6,44,152,0.267,0.324,0.474,0.798,126,0.353,133,309,15,12,0,2,5,*8/DH,ASMVP-6,rodriju01
2,Randy Arozarena,30,SEA,4,160,709,613,95,146,32,1,27,76,31,6,64,191,0.238,0.334,0.426,0.76,117,0.341,124,261,9,27,0,5,2,*7/D,AS,arozara01
3,Cal Raleigh#,28,SEA,7.4,159,705,596,110,147,24,0,60,125,14,4,97,188,0.247,0.359,0.589,0.948,167,0.392,165,351,6,9,0,3,17,*2D/H,ASMVP-2SS,raleica01
4,Brent Rooker,30,ATH,2.3,162,699,626,92,164,40,3,30,89,6,1,65,155,0.262,0.335,0.479,0.814,118,0.353,125,300,13,5,0,2,4,*D9/7H,AS,rookebr01
5,Jarren Duran*,28,BOS,4.7,157,696,620,86,159,41,13,16,84,24,6,60,169,0.256,0.332,0.442,0.774,117,0.345,118,274,6,12,1,3,1,*78/H9D,,duranja01
6,Steven Kwan*,27,CLE,3.7,156,693,625,81,170,29,1,11,56,21,5,55,60,0.272,0.33,0.374,0.705,98,0.312,94,234,3,3,3,7,2,*7/D8,ASGG,kwanst01
7,Bobby Witt Jr.,25,KCR,7.1,157,687,623,99,184,47,6,23,88,38,9,49,125,0.295,0.351,0.501,0.852,135,0.37,136,312,7,8,0,7,8,*6/D,ASMVP-4GGSS,wittbo02
8,Vinnie Pasquantino*,27,KCR,2.4,160,682,621,72,164,33,1,32,113,1,0,49,107,0.264,0.323,0.475,0.798,119,0.343,121,295,14,7,0,5,5,*3D,,pasquvi01
9,Vladimir Guerrero Jr.,26,TOR,4.6,156,680,589,96,172,34,0,23,84,6,3,81,94,0.292,0.381,0.467,0.848,133,0.365,133,275,17,6,0,4,8,*3D/H,ASMVP-13,guerrvl02
10,Aaron Judge,33,NYY,9.7,152,679,541,137,179,30,2,53,114,12,5,124,160,0.331,0.457,0.688,1.144,213,0.461,212,372,16,7,0,7,36,9D/H,ASMVP-1SS,judgeaa01
11,José Ramírez#,32,CLE,5.8,158,673,593,103,168,34,3,30,85,44,7,66,74,0.283,0.36,0.503,0.863,139,0.372,134,298,9,8,0,5,22,*5D,ASMVP-3SS,ramirjo01
12,Maikel Garcia,25,KCR,5.8,160,666,595,81,170,39,5,16,74,23,9,62,84,0.286,0.351,0.449,0.8,122,0.348,123,267,14,1,3,5,0,*564/8DH9,ASMVP-14GG,garcima01
13,Taylor Ward,31,LAA,2.7,157,663,579,86,132,31,2,36,103,4,1,75,175,0.228,0.317,0.475,0.792,119,0.342,117,275,13,3,0,6,1,*7/DH,,wardta01
14,Cody Bellinger*,29,NYY,5.1,152,656,588,89,160,25,5,29,98,13,2,57,90,0.272,0.334,0.48,0.813,123,0.349,123,282,8,2,0,9,1,*798/3H,MVP-14,bellico01
15,Riley Greene*,24,DET,2.2,157,655,600,84,155,31,1,36,111,2,1,46,201,0.258,0.313,0.493,0.806,120,0.343,118,296,14,4,0,5,1,*7D8/H9,ASMVP-17SS,greenri03
16,Jose Altuve,35,HOU,0.5,155,654,588,80,156,24,1,26,77,10,6,55,109,0.265,0.329,0.442,0.771,112,0.331,110,260,20,4,1,6,5,4D7/H,,altuvjo01
17,J.P. Crawford*,30,SEA,3.8,157,654,570,69,151,24,0,12,58,8,1,74,122,0.265,0.352,0.37,0.722,109,0.322,113,211,11,3,6,1,1,*6/H,,crawfjp01
18,Trevor Story,32,BOS,3.8,157,654,612,91,161,29,0,25,96,31,1,33,176,0.263,0.308,0.433,0.741,107,0.333,105,265,3,7,1,1,1,*6/HD,,storytr01
19,Junior Caminero,21,TBR,4.4,154,653,602,93,159,28,0,45,110,7,1,41,125,0.264,0.311,0.535,0.846,130,0.366,136,322,31,3,0,7,1,*5/DH3,ASMVP-9,caminju01
20,Yandy Díaz,33,TBR,3.4,150,651,583,79,175,29,1,25,83,3,1,57,92,0.3,0.366,0.482,0.848,135,0.364,136,281,12,6,0,5,4,*D3,MVP-18,diazya01
21,Gunnar Henderson*,24,BAL,5.3,154,651,577,85,158,34,5,17,68,30,5,62,137,0.274,0.349,0.438,0.787,120,0.349,122,253,7,7,0,5,6,*6/DH,,hendegu01
22,Jackson Holliday*,21,BAL,1,149,649,586,70,142,21,3,17,55,17,11,56,140,0.242,0.314,0.375,0.69,94,0.305,97,220,4,6,0,1,1,*4/6DH,,hollija01
