Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Francisco Lindor#,31,NYM,5.9,160,732,644,117,172,35,0,31,86,31,6,65,131,0.267,0.346,0.466,0.811,128,0.359,128,300,9,16,0,7,2,*6/DH,ASMVP-10,lindofr01
2,Shohei Ohtani*,30,LAD,6.6,158,727,611,146,172,25,9,55,102,20,6,109,187,0.282,0.392,0.622,1.014,181,0.423,175,380,9,3,0,2,20,*D1,ASMVP-1SS,ohtansh01
3,Matt Olson*,31,ATL,6,162,724,624,98,170,41,2,29,95,1,0,91,176,0.272,0.366,0.484,0.85,138,0.368,136,302,14,4,0,5,2,*3,ASMVP-18GG,olsonma02
4,Kyle Schwarber*,32,PHI,4.6,162,724,604,111,145,23,2,56,132,10,2,108,197,0.24,0.365,0.563,0.928,151,0.396,149,340,4,11,0,1,6,*D/7,ASMVP-2,schwaky01
5,Geraldo Perdomo#,25,ARI,7,161,720,597,98,173,33,5,20,100,27,6,94,83,0.29,0.389,0.462,0.851,135,0.382,139,276,11,10,8,11,1,*6/H,MVP-4SS,perdoge01
6,Juan Soto*,26,NYM,6.2,160,715,577,120,152,20,1,43,105,38,4,127,137,0.263,0.396,0.525,0.921,159,0.41,163,303,17,3,1,6,13,*9/D,MVP-3SS,sotoju01
7,Pete Alonso,30,NYM,3.4,162,709,624,87,170,41,1,38,126,1,2,61,162,0.272,0.347,0.524,0.871,143,0.371,142,327,23,15,0,9,5,*3/D,ASMVP-11SS,alonspe01
8,Elly De La Cruz#,23,CIN,3.6,162,699,629,102,166,31,7,22,86,37,8,67,181,0.264,0.336,0.44,0.777,111,0.342,104,277,14,2,0,1,10,*6/DH,ASMVP-23,delacel01
9,Heliot Ramos,25,SFG,1.2,157,695,620,85,159,24,1,21,69,6,4,52,158,0.256,0.328,0.4,0.728,107,0.319,107,248,16,17,0,6,2,*7/DH,,ramoshe02
10,Fernando Tatis Jr.,26,SDP,5.9,155,691,594,111,159,27,2,25,71,32,7,89,129,0.268,0.368,0.446,0.814,125,0.368,129,265,6,6,0,2,7,*9/D,ASMVP-8GG,tatisfe02
11,James Wood*,22,WSN,3.7,157,689,598,87,153,38,0,31,94,15,7,85,221,0.256,0.35,0.475,0.825,132,0.357,132,284,12,3,0,3,8,*7D/H,AS,woodja03
12,Willy Adames,29,SFG,3.7,160,686,591,94,133,22,2,30,87,12,4,80,179,0.225,0.318,0.421,0.74,110,0.326,110,249,9,5,0,9,2,*6/D,,adamewi01
13,TJ Friedl*,29,CIN,2.3,152,685,579,82,151,22,2,14,53,12,3,81,115,0.261,0.364,0.378,0.742,105,0.341,106,219,7,16,4,5,0,*8/DH,,friedtj01
14,Manny Machado,32,SDP,4.1,159,678,615,91,169,33,0,27,95,14,3,55,131,0.275,0.335,0.46,0.795,118,0.346,115,283,16,3,0,5,4,*5D,ASMVP-16SS,machama01
15,Luis Arraez*,28,SDP,1.2,154,675,620,66,181,30,4,8,61,11,4,34,21,0.292,0.327,0.392,0.719,99,0.318,97,243,12,2,12,7,0,*3D4/H,,arraelu01
16,Ozzie Albies#,28,ATL,2.1,157,667,603,74,145,23,2,16,74,14,3,55,94,0.24,0.306,0.365,0.671,89,0.307,92,220,9,4,0,5,2,*4,,albieoz01
17,Mookie Betts,32,LAD,4.9,150,663,589,95,152,23,2,20,82,8,2,61,68,0.258,0.326,0.406,0.732,105,0.322,102,239,15,3,0,10,2,*6/H9,,bettsmo01
18,Ian Happ#,30,CHC,4,150,663,569,87,138,32,0,23,79,6,3,87,151,0.243,0.342,0.42,0.762,121,0.338,122,239,8,2,0,5,2,*7/DH,GG,happia01
