LEAGUE MISMATCH | expected=AL api_league=National League name=Carlos Santana team=CLE
LEAGUE MISMATCH | expected=AL api_league=National League name=Ryan O'Hearn team=BAL
LEAGUE MISMATCH | expected=AL api_league=National League name=Cedric Mullins team=BAL
LEAGUE MISMATCH | expected=AL api_league=National League name=Rafael Devers team=BOS
LEAGUE MISMATCH | expected=AL api_league=National League name=Harrison Bader team=MIN
LEAGUE MISMATCH | expected=AL api_league=National League name=Ramón Laureano team=BAL
LEAGUE MISMATCH | expected=AL api_league=National League name=Danny Jansen team=TB
LEAGUE MISMATCH | expected=AL api_league=National League name=Miguel Andujar team=ATH
LEAGUE MISMATCH | expected=AL api_league=National League name=Freddy Fermin team=KC
LEAGUE MISMATCH | expected=AL api_league=National League name=Andrew Vaughn team=CWS
LEAGUE MISMATCH | expected=AL api_league=National League name=Mike Yastrzemski team=KC
LEAGUE MISMATCH | expected=AL api_league=National League name=Will Wagner team=TOR
LEAGUE MISMATCH | expected=AL api_league=National League name=Ha-Seong Kim team=TB
LEAGUE MISMATCH | expected=AL api_league=National League name=Ben Rortvedt team=TB
LEAGUE MISMATCH | expected=AL api_league=National League name=Travis Jankowski team=TOT
LEAGUE MISMATCH | expected=AL api_league=National League name=Jacob Stallings team=BAL
LEAGUE MISMATCH | expected=AL api_league=National League name=Amed Rosario team=NYY
LEAGUE MISMATCH | expected=AL api_league=National League name=Drew Avans team=ATH
LEAGUE MISMATCH | expected=AL api_league=National League name=Blaine Crim team=TEX
LEAGUE MISMATCH | expected=AL api_league=National League name=Buddy Kennedy team=TOR
LEAGUE MISMATCH | expected=AL api_league=National League name=Jonathan Ornelas team=TEX
LEAGUE MISMATCH | expected=AL api_league=National League name=Vidal Bruján team=BAL
LEAGUE MISMATCH | expected=AL api_league=National League name=Zach Pop team=SEA
LEAGUE MISMATCH | expected=AL api_league=National League name=Trevor Richards team=KC
LEAGUE MISMATCH | expected=AL api_league=National League name=Connor Seabold team=TB
LEAGUE MISMATCH | expected=NL api_league=American League name=Nathaniel Lowe team=WSN
LEAGUE MISMATCH | expected=NL api_league=American League name=Eugenio Suárez team=AZ
LEAGUE MISMATCH | expected=NL api_league=American League name=Isiah Kiner-Falefa team=PIT
LEAGUE MISMATCH | expected=NL api_league=American League name=Ryan McMahon team=COL
LEAGUE MISMATCH | expected=NL api_league=American League name=Josh Naylor team=AZ
LEAGUE MISMATCH | expected=NL api_league=American League name=Jesús Sánchez team=MIA
LEAGUE MISMATCH | expected=NL api_league=American League name=Adam Frazier team=PIT
UNMATCHED | league=NL name=Kiké Hernández team=LAD
LEAGUE MISMATCH | expected=NL api_league=American League name=Randal Grichuk team=AZ
LEAGUE MISMATCH | expected=NL api_league=American League name=LaMonte Wade Jr. team=SFG
LEAGUE MISMATCH | expected=NL api_league=American League name=Nick Fortes team=MIA
LEAGUE MISMATCH | expected=NL api_league=American League name=Derek Hill team=MIA
LEAGUE MISMATCH | expected=NL api_league=American League name=Willi Castro team=CHC
LEAGUE MISMATCH | expected=NL api_league=American League name=Vinny Capra team=MIL
LEAGUE MISMATCH | expected=NL api_league=American League name=Jonah Bride team=MIA
LEAGUE MISMATCH | expected=NL api_league=American League name=James Outman team=LAD
LEAGUE MISMATCH | expected=NL api_league=American League name=Austin Wynns team=CIN
LEAGUE MISMATCH | expected=NL api_league=American League name=Chris Taylor team=LAD
LEAGUE MISMATCH | expected=NL api_league=American League name=Daniel Johnson team=SFG
UNMATCHED | league=NL name=Jihwan Bae team=PIT
LEAGUE MISMATCH | expected=NL api_league=American League name=Nicky Lopez team=CHC
LEAGUE MISMATCH | expected=NL api_league=American League name=Gage Workman team=CHC
LEAGUE MISMATCH | expected=NL api_league=American League name=Kody Clemens team=PHI
LEAGUE MISMATCH | expected=NL api_league=American League name=Chadwick Tromp team=ATL
LEAGUE MISMATCH | expected=NL api_league=American League name=Hunter Feduccia team=LAD
LEAGUE MISMATCH | expected=AL api_league=National League name=Charlie Morton team=TOT
LEAGUE MISMATCH | expected=AL api_league=National League name=Zack Littell team=TB
LEAGUE MISMATCH | expected=AL api_league=National League name=Walker Buehler team=BOS
LEAGUE MISMATCH | expected=AL api_league=National League name=JP Sears team=ATH
LEAGUE MISMATCH | expected=AL api_league=National League name=Ryan Gusto team=HOU
LEAGUE MISMATCH | expected=AL api_league=National League name=Aaron Civale team=CWS
LEAGUE MISMATCH | expected=AL api_league=National League name=Jhoan Duran team=MIN
LEAGUE MISMATCH | expected=AL api_league=National League name=Jorge Alcala team=TOT
LEAGUE MISMATCH | expected=AL api_league=National League name=Mason Miller team=ATH
LEAGUE MISMATCH | expected=AL api_league=National League name=Gregory Soto team=BAL
LEAGUE MISMATCH | expected=AL api_league=National League name=Brock Stewart team=MIN
LEAGUE MISMATCH | expected=AL api_league=National League name=Carlos Carrasco team=NYY
LEAGUE MISMATCH | expected=AL api_league=National League name=Andrew Kittredge team=BAL
LEAGUE MISMATCH | expected=AL api_league=National League name=John Brebbia team=DET
LEAGUE MISMATCH | expected=AL api_league=National League name=Chris Stratton team=KC
LEAGUE MISMATCH | expected=AL api_league=National League name=JT Brubaker team=NYY
LEAGUE MISMATCH | expected=AL api_league=National League name=Dane Dunning team=TEX
LEAGUE MISMATCH | expected=NL api_league=American League name=Merrill Kelly team=AZ
LEAGUE MISMATCH | expected=NL api_league=American League name=Bailey Falter team=PIT
LEAGUE MISMATCH | expected=NL api_league=American League name=Dustin May team=LAD
LEAGUE MISMATCH | expected=NL api_league=American League name=Stephen Kolek team=SDP
LEAGUE MISMATCH | expected=NL api_league=American League name=Steven Matz team=STL
LEAGUE MISMATCH | expected=NL api_league=American League name=Jake Bird team=COL
LEAGUE MISMATCH | expected=NL api_league=American League name=Jordan Hicks team=SFG
LEAGUE MISMATCH | expected=NL api_league=American League name=Camilo Doval team=SFG
LEAGUE MISMATCH | expected=NL api_league=American League name=Enyel De Los Santos team=ATL
LEAGUE MISMATCH | expected=NL api_league=American League name=Caleb Ferguson team=PIT
LEAGUE MISMATCH | expected=NL api_league=American League name=Kyle Finnegan team=WSN
LEAGUE MISMATCH | expected=NL api_league=American League name=Phil Maton team=STL
LEAGUE MISMATCH | expected=NL api_league=American League name=David Bednar team=PIT
LEAGUE MISMATCH | expected=NL api_league=American League name=Tyler Alexander team=MIL
LEAGUE MISMATCH | expected=NL api_league=American League name=Ryan Bergert team=SDP
LEAGUE MISMATCH | expected=NL api_league=American League name=Rafael Montero team=ATL
LEAGUE MISMATCH | expected=NL api_league=American League name=Ryan Borucki team=PIT
LEAGUE MISMATCH | expected=NL api_league=American League name=Génesis Cabrera team=TOT
LEAGUE MISMATCH | expected=NL api_league=American League name=Carlos Hernández team=PHI
LEAGUE MISMATCH | expected=NL api_league=American League name=Mick Abel team=PHI
LEAGUE MISMATCH | expected=NL api_league=American League name=Paul Blackburn team=NYM
LEAGUE MISMATCH | expected=NL api_league=American League name=Kyle Harrison team=SFG
LEAGUE MISMATCH | expected=NL api_league=American League name=José Castillo team=TOT
LEAGUE MISMATCH | expected=NL api_league=American League name=Andrew Chafin team=WSN
LEAGUE MISMATCH | expected=NL api_league=American League name=Elvin Rodríguez team=MIL
LEAGUE MISMATCH | expected=NL api_league=American League name=Scott Blewett team=ATL
LEAGUE MISMATCH | expected=NL api_league=American League name=Rico Garcia team=NYM
LEAGUE MISMATCH | expected=NL api_league=American League name=Bryan Hudson team=MIL
